STT,N_i dung,,
1,S_ _i_n tho_i khìng h_p l_,Invalid phone number,
2,M_t kh_u ch_a h_p l_,Invalid password,
3,_ang t_i...,Loading,
4,Xin __i trong giÉy l†t....,Please wait a moment,
5,B_n c_n cho phÇp _ng d_ng quy_n xem thìng tin Google Account __ __ng nh_p b_ng Google,Allowing the application to access your Google account information to log in,
6,"B_n _∆ t_ ch_i _ng d_ng quy_n xem thìng tin Google Account, khìng th_ __ng nh_p b_ng Google","You have denied the application to access your Google information, unable to log in with Google",
7,Tàn hi_n th_ tr_ng,Display name is empty,
8,Tàn __ng nh_p tr_ng,The username field is empty,
9,M_t kh_u c_ tr_ng,Old password is empty,
10,M_t kh_u m_i tr_ng,New password is empty,
11,M∆ x†c nh_n tr_ng,Confirmation code is empty,
12,M_t kh_u x†c nh_n ch_a tróng nhau,Password confirmation does not match password,
13,Ch_n _nh,Choose a photo,
14,Ch_p _nh,Take a photo,
15,L_y _nh t_ th_ vi_n,Choose a photo from library,
16,M_t kh_u x†c th_c tr_ng,Confirmation password is empty,
17,M_t k_t n_i v_i m†y ch_. Xin h∆y ki_m tra l_i m_ng!,Unable to connect to the server. Please check your network connecton,
18,Thay __i m_t kh_u thÖnh cìng,Your password has been reset successfully,
19,H_ th_ng _ang g_i m∆ x†c nh_n __n _i_n tho_i/ Email c_a b_n.,Sending confirmation code to your phone/email,
20,C_p nh_t d_ li_u thÖnh cìng,Data updated successfully,
21,__t xe,Book a car,
22,Tçm xe,Find car,
23,Tçm kh†ch,Find customer,
24,Thìng b†o,Notice,
25,Thàm,More,
26,__t xe tr_c tuy_n,Online booking,
27,KHµCH TﬁM XE,Find a car,
28,XE TﬁM KHµCH,Find a customer,
29,SÖn giao d_ch v_n t_i hÖnh kh†ch.,Transport exchange,
30,__NG NH_P,Log in,
31,__NG KÌ,Sign up,
32,QU“N M_T KH_U?,Forgot password?,
33,Quàn m_t kh_u,Forgot password?,
34,Tàn __ng nh_p,User name,
35,B_n _∆ c¢ tÖi kho_n ch_a?,Do you have an account?,
36,__ng nh_p ngay,Log in now,
37,__ng kÏ tÖi kho_n,Sign up for an account ( Create a new account),
38,VUI L„NG __NG NH_P \n__ S_ D_NG CH_C N_NG N∑Y,Please Login to use this feature),
39,Tçm __n v_ v_n t_i,Find a transport agency,
40,S_ l__ng:,Number,
41,S_ _i_n tho_i:,Phone number,
42,L_ TRﬁNH,Route,
43,_i_m _¢n __u tiàn,First pick-up point,
44,_i_m _¢n ti_p theo,Next pick-up point,
45,Thàm __a _i_m,Add more pick-up points,
46,_i_m _¢n cu_i cóng,Final destination,
47,Tr_ v_ _i_m __u,Return to the first pick-up point,
48,Xem l_ trçnh,View route,
49,NgÖy kh_i hÖnh,Departure date,
50,Th_i gian k_t th£c,Return time,"_Éy lÖ th_i gian kh†ch quay v_ _, n_u th_ thç return date, cïn n_u ngÖy kh†ch __m __a _i_m thç lÖ arrival date"
51,__C T÷NH GIµ,Estimate price,
52,S_ gh_,Number of seats,
53,S_ ngÖy thuà,rental period,
54,Gi† d_ ki_n,Planned price,
55,Thìng tin ng__i __t xe,Customer information,
56,Tàn hi_n th_,Display name,
57,Tàn tÖi kho_n,Username,
58,S_ _i_n tho_i,Phone number,
59,Nh_p l_i m_t kh_u,Re-enter the password,
60,Ch_n vai trï __ng kÏ,Select a role to register,
61,__n v_ v_n t_i,Transport agency,
62,Kh†ch HÖng,Customers,
63,XµC TH_C,Confirm,
64,M∆ x†c th_c,Confirmation code  ,
65,X†c th_c tÖi kho_n,Verify the account,
66,Tham gia,Join us,
67,G_i l_i,Resend,
68,Nh_p m∆ x†c th_c,Enter the confirmation code,
69,B_n c¢ th_ yàu c_u g_i l_i m∆ x†c nh_n sau,Request to send another confirmation code,
70,G_i _i,Send ,
,B_t _i_m _¢n,Less pick-up location,
,Thìng tin _i_m _¢n,Pick-up location information,
,Ch_n lo_i xe,Car type,
,4 ch_,4 seats,
,7 ch_,7 seats,
,10 ch_,10 seats,
,16 ch_,16 seats,
,29 ch_,29 seats,
,35 ch_,35 seats,
,45 ch_,45 seats,
,Tàn ng__i __t xe,Booking name,
,_i_n tho_i liàn h_,Phone number,
,Email liàn h_,Email,
,Thìng tin __t xe,Booking information,
,_ang x_ lÏ,Processing,
,G¢i chÖo gi†,Bidding package,
,__n v_ chÖo gi†,Bidder ,
,NgÖy b_ gi†,Offer date,
,__n gi†,Prices,
,K_t qu_,Results,
,NgÖy __n,Arrival date,
,NgÖy _i,Departure date,
,Gi_ _i,Arrival time ,
,Gi_ __n,Departure time,
,H∆y nh_p _i_m _¢n __u tiàn,Please enter the first pick-up point,
,H∆y nh_p _i_m _¢n cu_i cóng,Please enter the destination,
,H∆y ch_n ngÖy b_n mu_n kh_i hÖnh,Please choose your departure date,
,H∆y ch_n ngÖy k_t th£c chuy_n _i,Please choose your return date,
,H∆y ch_n gi_ b_n mu_n kh_i hÖnh,Please choose your departure time,
,H∆y ch_n gi_ b_n mu_n __n n_i,Please choose your expected arrival time,
,H∆y ch_n s_ gh_ c_a xe b_n mu_n _i,Please choose number of seats,
,Th_i gian kh_i hÖnh ph_i tr__c th_i gian k_t th£c,Departure time must be before arrival time,
,Ch_ ch£t,Please wait a moment ,
,T∑I X_,Driver,
,T∑I KHO_N,Account,
,Thìng tin c† nhÉn,Personal information,
,KHµC,Others,
,Thay __i m_t kh_u,Change password,
,C†c chuy_n _i m_i,New trips,
,L_ch ch_y xe c_a tìi,My schedule,
,L_ch s_ ch_y xe,History,
,__ng xu_t,Log out  ,
,Quy ch_ ho_t __ng,Operation regulations,
,Gi_i thi_u v_ ch£ng tìi,About us,
,Liàn h_,Contact,
,G¢i __t gi†,Bidding package,
,G¢i c_a tìi,My package,
,__T Vê MµY BAY,Book a flight,
,__T Vê T∑U H_A,Book a train,
,__T ‚ T‚ TR_C TUY_N,Book a car online,
,G¢i _ang __t gi†,The package is being bid,
,_ang __t gi†,Bidding,
,Kh_i hÖnh,Depart,
,K_t th£c,Return,
,_i_m __u,Starting location  ,
,_∆ thanh to†n,Payment confirmed,
,H_ng l†i xe,License class,
,NgÖy h_t h_n,Expiration date,
,L_ trçnh,Route,
,_i_m cu_i,Final destination,
,Th_i gian,Time,
,H_p __ng theo n_m,Yearly contract,
,NgÖy b_t __u,Starting date,
,NgÖy k_t th£c,Ending date,
,C†c thìng s_,Specifications,
,S_ ch_,Number of seats,
,Thìng b†o,Notice,
,B_n c¢ ch_c mu_n tho†t,Are you sure you want to log out?,
,H∆y __ng nh_p __ s_ d_ng ch_c n_ng nÖy,Please login  to use this feature,
,Thìng b†o,Notice,
,S_ ch_,Number of seats,
,Cìng ty,Company,
,__a ch_,Address,
,Danh s†ch xe,List of cars,
,Danh s†ch tÖi x_,List of drivers,
,Danh s†ch xe vÖ tÖi x_,List of cars and drivers,
,TH‚NG TIN XE,Car information,
,H∆ng s_n xu_t,Producer,
,Lo_i xe,Type of car,
,S_ ch_,Number of seats,
,N_m s_n xu_t,Manufacture year,
,Bi_n s_,License plate,
,Xu_t x_,Origin,
,Thìng tin kh†ch hÖng,Customer information,
,H_ vÖ tàn,Full name,
,S_ _i_n tho_i,Phone number,
,Xe s_ d_ng,Current car,
,Xu_t x_,Origin,
,Bi_n s_ xe,License plate,
,Tr_ng th†i hÖnh trçnh,Trip status,
,Tr_ng th†i,Status,
,Th_i gian k_t th£c,End time,
,S_ xe,Number of cars,
,H∆y nh_p s_ l__ng xe b_n mu_n __t,Please enter number of cars you want to book,
,S_ xe ph_i lÖ s_ nguyàn d__ng l_n h_n 0 vÖ nh_ h_n 200. H∆y liàn h_ tr_c ti_p khi __t s_ l__ng l_n h_n 200,"Number of cars must range from 1 to 200. If you want to book for more than 200 cars, please contact us directly",
,H∆y _i_n tàn ng__i __t xe,Please enter the name of the booking person,
,H∆y _i_n s_ _i_n tho_i liàn h_,Please enter your phone number,
,H∆y _i_n email liàn h_ c_a b_n,Please enter your email,
,S_ _i_n tho_i liàn h_ khìng h_p l_,Invalid phone number,
,Sai __nh d_ng email,Incorrect email,
,__t xe thÖnh cìng,Booking successful,
,Chuy_n _i c_a b_n _∆ ___c __ng kÏ,Your trip has been registered,
,Thìng b†o,Notice,
,XµC NH_N,Confirm,
,Nh_p m∆ x†c th_c,Enter the confirmation code,
,XµC TH_C T∑I KHO_N,Verify the account,
,G_I L_I M« XµC NH_N,Resend the confirmation code,
,H∆y _i_n m_t kh_u c_a b_n,Enter the password,
,H∆y nh_p m∆ x†c th_c c_a b_n,Enter the confirmation code,
,Mì t_ thìng tin,Description information,
,__ng xu_t thÖnh cìng.,Log out successfully,
,G_I S_ _I_N THO_I,Send phone number,
,L_U THAY __I,Save changes,
,Gi_ kh_i hÖnh,Departure time,
,__n v_ chÖo gi†,bidder,
,THAY __I M_T KH_U,CHANGE PASSWORD,
,Thay __i m_t kh_u,Change password,
,M_t kh_u c_,Old password  ,
,M_t kh_u m_i,New password  ,
,Lo_i,Remove,
,Thìng b†o,Notice,
,_∆ g_i m∆ x†c nh_n,Confirmation sent,
,TÖi kho_n _∆ ___c x†c th_c thÖnh cìng,Account has been successfully confirmed,
,Chuy_n s_p _i,My next trip,
,CHUY_N S_P _I,MY NEXT TRIP,
,Thay __i m_t kh_u th_t b_i,Failed to change password,
,L_y l_i m_t kh_u,Reset password,
,B_n th_c hi_n thao t†c g_i qu† nhanh,You are sending too fast,
,__ng xu_t th_t b_i,Logout failed,
,Thìng tin kh†ch hÖng,Customer information,
,__t Gi†,Bid ,
,Danh s†ch c†c xe vÖ tÖi x_,List of cars and drivers,
,C_P NH_T,Update,
,TÖi x_,Driver,
,bi_n s_ xe,License plate,
,Ch_n xe vÖ tÖi x_ cho chuy_n _i nÖy,Choose car and driver for this trip,
,"___ng truy_n c¢ v_n __, h∆y th_ l_i sau 30s","Network connection failed, please try again in 30s",
,Gi† ti_n,Price,
,S_ chuy_n cïn/ chuy_n s_p _i,Remaining trip,
,THAY __I,Changes ,
,Thay __i tàn tÖi kho_n,Change  account name,
,Thay __i s_ _i_n tho_i,Change  phone number,
,Thay __i tàn cìng ty,Change  company name,
,Thay __i __a ch_,Change  address,
,Thay __i Email,Change email,
,Thay __i ng__i liàn l_c,Change contact person,
,Thay __i mì t_,Change description,
,Thìng tin nh_p,Information,
,_i_m __u,Starting point,
,_i_m cu_i,Final destination,
,_i_m ti_p theo,Next destination,
,Chi ti_t g¢i __t gi†,Bidding package detail,
,B_n ch_a c¢ chuy_n _i nÖo,You haven't had any trips yet,
,Tr_ng th†i,Status,
,_« XµC TH_C,Verified,
,Khìng c¢ d_ li_u,No data,
,NgÖy,Date,
,xe,Car  ,
,Ch_,Seat,
,Km,Km,
,Gi† __nh __t gi†/ 1 xe,Price range/1 car,
,S_ xe/ Bi_n ki_m so†t,License plate,
,__T GIµ,Bid,
,B_n __ tr_ng tr__ng nh_p li_u.,You have a blank field,
,__t gi† thÖnh cìng,Bidding successful,
,__t gi† th_t b_i,Bidding failed,
,Ch_a x†c th_c,Unconfirmed,
,_∆ __ tÖi x_ cho chuy_n _i nÖy,Enough drivers for this trip,
,_∆ __ xe cho chuy_n _i nÖy,Enough cars for this trip,
,H∆ng s_n xu_t ,Manufaturer,
,Ch_n tÖi x_ cho chuy_n _i nÖy,Select driver for this trip,
,Ch_n xe cho chuy_n _i nÖy,Select car for this trip,
,Ch_n l†i xe cho chuy_n _i,Select driver for the trip,
,Ch_n xe cho chuy_n _i nÖy,Select car for this trip,
,S_ _i_n tho_i,Phone number,
,Nh_p m_t kh_u ch_a tróng nhau,Password confirmation does not match password,
,VN_/xe,VND/car,
,"Ch_n nhÖ v_n t_i thÖnh cìng, h∆y ch_ ph_n h_i t_ nhÖ v_n t_i","Successfully choosing the transport agency, please wait for reply from transport agency",
,Tàn g¢i,Package name,
,Mì t_ chuy_n _i,Trip description,
,Khìng l_p l_i,Don't repeat ,
,XµC NH_N,Confirm,
,Ch_n ngÖy l_p l_i,Choose repeating day,
,H∆y nh_p tàn g¢i __t gi†,Please enter the name of the package,
,H∆y nh_p mì t_,Please add a description,
,_ng d_ng c_n ___c cho phÇp quy_n truy c_p,The application needs access permission,
,C_p nh_t thÖnh cìng,Updated successfully,
,B_n c¢ ch_c mu_n __ng xu_t,Are you sure you want to log out?,
,"B_n _∆ t_ ch_i _ng d_ng quy_n truy c_p CAMERA, khìng th_ ch_p _nh m_i","You have denied access to CAMERA, uanble to take a new photo",
,C_p nh_t s_ _i_n tho_i,Update phone number,
,Nh_p s_ _i_n tho_i c_a b_n,Enter your phone number,
,H∆y nh_p m∆ x†c nh_n,Enter the confirmation code,
,M∆ x†c th_c k h_p l_,Invalid confirmation code,
,D_ch v_ Google play khìng ___c h_ tr_ tràn thi_t b_ c_a b_n. M_t s_ ch_c n_ng c¢ th_ khìng ho_t __ng.,Google play is not supported by your device. Some functions might not work. ,
,tr__ng d_ li_u __ tr_ng.,The field is blank,
,tr__ng d_ li_u °t h_n 2 k° t_.,The field is less than 2 characteres,
,Khìng th_ __t th_i gian trong qu† kh_,Unable to set the time in the past,
,B_n _∆ __ng kÏ thÖnh cìng g¢i __t xe ,You have successfully registered the booking package,
,B_n _∆ c_p nh_t thìng tin cho g¢i __t xe,You have successfully updated the booking package,
,thÖnh cìng,,
,g¢i __t xe c_a b_n _ang ch_ ___c ki_m duy_t,Your bidding package is pending,
,C¢ tÖi x_ _∆ nh_n g¢i __t xe c_a b_n,A driver has  accepted your bidding package,
,C¢ nhÖ v_n t_i _∆ g_i g¢i __t gi† __n cho b_n,A transport agency has sent you a bidding package,
,NhÖ v_n t_i _∆ x†c nh_n g¢i __t gi† c_a b_n,The transporter has confirmed your bidding package,
,"B_n _∆ ch_n g¢i __t gi† c_a nhÖ v_n t_i thÖnh cìng, ch_ x†c nh_n c_a nhÖ v_n t_i m_t l_n n_a","You have successfully selected a bidding package, please wait for confirmation from transport agency",
,TÖi x_ s_p __n _¢n b_n,Your driver is on the way,
,"Ch£c b_n c¢ m_t chuy_n _i vui v_, th__ng l_ bçnh an",Bon voyage / Have a nice trip,
,B_n nh_n ___c m_t chuy_n _i m_i,You received a new trip,
,Ch_p nh_n chuy_n _i thÖnh cìng,Accepting the trip successfully,
,S_p __n gi_ _¢n kh†ch,It's time for customer pick-up,
,Ng__i dóng h_y chuy_n,Customer cancels the trip,
,HÖnh kh†ch ch_n g¢i __t gi† c_a cìng ty b_n,Customer has chosen your bidding package,
,__t gi† thÖnh cìng,Bidding successfully,
,Ch_a c¢ nhÖ v_n t_i nÖo tham gia,No transport agency shown yet,
,S_ xe,Number of car,
,Kho_ng c†ch,Distance,
,H∆y _†nh gi† chuy_n _i c_a b_n,Please rate your trip,
,B_n _∆ h_y thÖnh cìng chuy_n _i,You have successfully cancelled the trip,
,T_ l†i,Self-drive,
,Chuy_n t_ l†i,Self-drive trip,
,B_n __t nhi_u h_n s_ xe quy __nh,You have exceeded car number limit,
,B_n ch_a x_p xe cho chuy_n _i nÖy,You haven't arranged car for this trip,
,Chuy_n _i _∆ hoÖn thÖnh,Completed trip,
,B_n _∆ hoÖn thÖnh g¢i __t xe,You have completed the booking,
,_ang __t gi†,Bidding  ,
,Thìng tin __t gi†,Bidding information,
,B_n c¢ ch_c ch_n s_ d_ng s_ _i_n tho_i nÖy,Are you sure you use this phone number?,
,Ch_a __t xe,No car booked ,
,B_n khìng __t gi† ___c v_i g¢i __t gi† nÖy, You are unable to bid with this bidding price,
,_†nh gi†,Review,
,Lo_i xe,Types of car,
,S_ l__ng xe,Number of car,
,_∆ k_t th£c,Finished ,
,C_p nh_t xe th_t b_i,Car update failed,
,Khìng x†c __nh,N/A,
,C¢ g¢i __t gi† m_i phó h_p v_i cìng ty b_n,There is a new bidding package suitable for your company ,
,Ch_a ch_n xe nÖo __ c_p nh_t,No car chosen for update,
,Khìng x†c __nh,N/A,
,Khìng C¢,No results,
,Th_,Date,
,CN,Sunday,
,HÖng NgÖy,Daily,
,Gi† __t gi† khìng th_ nh_ h_n 1 nghçn __ng.,Bidding price could not be smaller than 1000 VND,
,Th_ l_i ???,Try again,
,Tr_ng th†i,Status,
,TÖi x_ _ang tràn ___ng t_i _¢n b_n,Your driver are on the way,
,Gi† ti_n,Price,
,H∆y __ng nh_p l_i,Please log in again,
,Nh_p m_t kh_u,Enter the password,
,Nh_p l_i m_t kh_u,Re-enter the password,
,H∆y l_i m_t kh_u c_a b_n,Please re-enter the password,
,M_t kh_u b_n nh_p l_i khìng kh_p v_i m_t kh_u tr__c,Your password confirmation doesn't match your password,
,C_m _n b_n _∆ s_ d_ng GoNow,Thank you for using GoNow,
,"Xin l_i vç s_ b_t ti_n nÖy, _∆ c¢ s_ c_ x_y ra, ch£ng tìi khìng th_ l_y d_ li_u, vui lïng ki_m tra l_i k_t n_i internet!!!","Sorry for this inconvenience! Something went wrong. We cannot get the data, please check your network connection.",
,"R_t ti_t, ch£ng tìi khìng tçm th_y d_ li_u mÖ b_n mu_n!!!",Sorry! We could not find the data you want,
,C_p nh_t th_t b_i,Update failed,
,C_p nh_t thÖnh cìng,Update successful,
,_i_m _¢n,Pick-up point,
,_ang ch_ _¢n kh†ch,Waiting for customer pick-up,
,_ang __n _¢n kh†ch,On the way for customer pick-up,
,B_t __u chuy_n _i,Start the trip,
,_∆ hoÖn thÖnh chuy_n,Trip finished,
,V_ tr° c_a kh†ch hÖng,Customer location,
,TÖi x_,Driver,
,X†c nh_n thÖnh cìng,Confirmed successfully,
,_∆ c¢ ng__i nh_n chuy_n nÖy,This trip has been assumed,
,Xe c_a b_n khìng phó h_p v_i chuy_n _i nÖy,Your car doen't suit this trip,
,B_n ch_a nh_p n_i dung gç,You haven't enter anything,
,_†nh gi† kh†ch hÖng,Customer review,
,R_t khìng hÖi lïng,Very dissatisfied,
,Khìng hÖi lïng,Dissatisfied,
,Bçnh th__ng,Neutral,
,HÖi lïng,Satisfied,
,R_t hÖi lïng,Very satisfied,
,C_m _n b_n _∆ _†nh gi†,Thank you for your review,
,_†nh gi† kh†ch hÖng,Customer review,
,Chuy_n ___c chi __nh,Appointed trip,
,_ang t_i...,Loading,
,Khìng c¢ s_ _i_n tho_i,No phone number found,
,"R_t ti_t, ch£ng tìi khìng tçm th_y thìng tin kh†ch hÖng __t chuy_n xe","Sorry, we couldnot find customer's information",
,"R_t ti_t, ch£ng tìi khìng tçm th_y thìng tin ph__ng ti_n","Sorry, we couldn't find any vehicles",
,Chuy_n __nh k_,Regular trip,
,C_p nh_t tàn tÖi x_,Update driver name,
,C_p nh_t s_ _i_n tho_i,Update phone number,
,C_p nh_t __a ch_,Update address,
,C_p nh_t tàn cìng ty,Update company name,
,Vì th_i h_n,Open-ended,
,C_p nh_t _nh __i di_n th_t b_i,Update profile picture failed,
,_nh khìng ___c tçm th_y,Unable to find picture,
,_n nh_m,Misclick,
,Vui lïng b_t GPS,Please enable GPS,
,C¢,Yes,
,Khìng,No,
,N_i dung _†nh gi†,Rating criteria,
,S_ ti_n thu t_ kh†ch hÖng,Revenue from customers,
,S_ ti_n b_n nh_n ___c,Amount you receive,
,X†c nh_n,Confirm,
,B_ qua,Skip,
,B_n ch_a c_p quy_n __c t_p tin,You need permission to read this file,
,Ch_a c¢ tÖi x_,No driver ,
,Xe ch_a ___c c_p nh_t tàn,Car name hasn't been updated,
,Xe ch_a ___c c_p nh_t xu_t x_,Car origin hasn't been updated,
,Xe ch_a ___c c_p nh_t bi_n s_,License plate hasn't been updated,
,Khìng th_ __t ch_ v_i m_t _i_m _¢n,Unable to book with only one pick-up point,
,TÖi kho_n,Account  ,
,khìng c¢ provider,No provider,
,service khìng c¢ s_n,Unavailale service,
,T_a __ khìng h_p l_,Invalid coordinate,
,Khìng tçm th_y __a ch_,Can't find address,
,Tçm th_y __a ch_, Address found,
,B_n _∆ h_t h_n chuy_n _i ,Your trip is expired,
,Thao t†c qu† nhanh,Your actions are too fast,
,GPS Khìng kh_ d_ng,Unavailale GPS,
,H∆y b_t GPS __ s_ d_ng ch_c n_ng nÖy,Please enable GPS  to use this function,
,_ang x_ lÏ,Processing,
,H∆y nh_p _i_m _¢n tr__c,Please enter a pick-up point before the ride,
,H∆y _i_n _i_m _¢n __u tiàn,Please enter first pick-up point,
,Khìng th_ __t 2 _i_m _¢n liàn ti_p cóng 1 v_ tr°,Unable to book 2 consecutive pick-up points at the same location,
,B_n h∆y nh_p l_ trçnh,Please enter the route,
,H_ th_ng _∆ g_i m∆ x†c nh_n __n s_ _i_n tho_i b_n cung c_p,The system has sent you the confirmation code,
,M_t kh_u ch_ t_ 6 __n 15 k° t_,Password from 6 to 15 characters,
,B_n _∆ __ng k° thÖnh cìng g¢i __t gi†,You have successfully registered the bidding package,
,Khìng __ xe __ __t gi† cho chuy_n _i.,Not enough cars to bid for the trip,
,H∆y c_p nh_t s_ _i_n tho_i __ s_ d_ng ch_c n_ng nÖy,Please update phone number to use this feature,
,THOµT,Exit,
,H∆y __ng nh_p __ s_ d_ng ch_c n_ng nÖy,Please login  to use this feature,
,Th_i gian k_t th£c __t gi†,Bid time,
,Th_i gian b_t __u,Starting time,
,Tàn __ng nh_p,Username,
,Thìng tin tÖi kho_n,Account information,
,Khìng l_p l_i,Do not repeat,
,H∆y __ng nh_p __ ti_p t_c s_ d_ng GoNow,Please login to continue using Gonow,
,Th_i gian,Time  ,
,B_n ch_a nh_p s_ _i_n tho_i ho_c email,You haven't entered phone number or email,
,Email khìng _£ng,Incorrect email,
,S_ _i_n tho_i khìng _£ng,Incorrect phone number,
,B_n ch_a nh_p m_t kh_u!,You haven't entered a password,
,TÖi kho_n khìng c¢ quy_n,The account has no right,
,TÖi kho_n khìng t_n t_i trong h_ th_ng,The account doesn't exist in the system,
,TÖi kho_n __ng qu† s_ l__ng cho phÇp,The account has exceeded its posting limit,
,S_ _i_n tho_i khìng t_n t_i,Phone number doesn't exist,
,NgÖy sinh khìng _£ng,Incorrect birthday,
,M_t kh_u nh_p l_i khìng _£ng,Re-entered password is wrong,
,M_t kh_u qu† y_u,Password is too weak,
,Ch_a nh_p h_ tàn,Your name hasn't been entered,
,Ch_a nh_p m_t kh_u,Your password hasn't been entered,
,Ch_a nh_p email ho_c s_ _i_n tho_i,Email or phonenumber hasn't been entered,
,Ch_a nh_p m_t kh_u,Your password hasn't been entered,
,B_n ch_a __ng Ï v_i _i_u kho_n c_a cìng ty,You haven't agreed to the terms of the company,
,"B_n _ang thao t†c qu† nhanh, h∆y th_ l_i sau °t ph£t","Your actions are too fast, please try again in a few minutes",
,B_n ch_a nh_p m∆ x†c nh_n,You haven't entered the confirmation code,
,M∆ x†c nh_n c_a b_n khìng _£ng(m_i m∆ x†c nh_n ch_ c¢ gi† tr_ trong 5 ph£t),Your confirmation code is incorrect (each confirmation code is only valid for 5 minutes),
,M∆ x†c nh_n c_a b_n khìng _£ng,Your confirmation code is incorrect ,
,Ch_a nh_p m∆ vóng,You haven't entered the area code,
,S_ _i_n tho_i _∆ ___c s_ d_ng,Phone number has been used,
,S_ _i_n tho_i _∆ ___c x†c th_c,The phone number has been verified,
,S_ _i_n tho_i khìng _£ng,Incorrect phone number,
,Ch_a nh_p m_t kh_u,You haven't entered the password,
,M_t kh_u khìng _£ng,Incorrect password,
,M∆ x†c nh_n c_a b_n khìng _£ng,Incorrect confirmation code,
,S_ _i_n tho_i ch_a ___c __ng kÏ,Unregistered phone number,
,M_t kh_u c_ khìng _£ng,Incorrect old password,
,Ch_a nh_p m_t kh_u c_,Old password hasn't been entered,
,M_t kh_u m_i ph_i dÖi tràn 6 kÏ t_,New password must be longer than 6 characters,
,M_t kh_u m_i ph_i dÖi tràn 6 kÏ t_,New password must be longer than 6 characters,
,M_t kh_u nh_p l_i tr_ng,Re-entered password is blank,
,M_t kh_u m_i ph_i dÖi tràn 6 kÏ t_,New password must be longer than 6 characters,
,M_t kh_u nh_p l_i khìng tróng,Password confirmation doesn't match your password,
,Ch_a nh_p m_t kh_u m_i,New password hasn't been entered,
,TÖi kho_n khìng _£ng,Incorrect account,
,"B_n _ang thao t†c g_i tin nh_n qu† nhi_u, h∆y th_ l_i sau °t ph£t","You are sending too much messages, please try again later",
,G_i m∆ x†c nh_n th_t b_i,Sending confirmation code failed,
,Email _∆ ___c __ng kÏ,This email has been already registered,
,Email khìng t_n t_i,Email doesn't exist,
,Email ch_a ___c __ng kÏ,Unregistered email,
,Tàn hi_n th_ khìng __ tr_ng,Display name is blank,
,Thìng tin _nh b_ l_i,Error in photo information,
,File up làn khìng ph_i lÖ _nh.,Uploaded file is not a photo,
,_nh ch_a n_i dung khìng lÖnh m_nh.,The photo contains inapproriate content,
,K°ch th__c c_a _nh v__t qu† 5MB.,Image size exceeds 5MB,
,Ng__i dóng khìng t_n t_i,User doesn't exist,
,M_t kh_u m_i tróng v_i m_t kh_u c_. Vui lïng ki_m tra l_i.,"New password is similiar to old password, please check again",
, G¢i __t gi† khìng cïn t_n t_i tràn h_ th_ng.,The bidding package is no longer available.,